id,eastings,northings
50,967322.272,3662409.677
51,1060915.085,3667318.187
61,777091.32,3766214.714
62,869504.689,3769375.549
63,961960.568,3773444.672
73,682516.097,3874870.634
85,590129.05,3984410.788
86,680266.662,3985798.208
97,500000,4094872.37
98,588977.325,4095339.691
109,412201.582,4206286.758
110,500000,4205815.02
122,413407.322,4317252.164
134,329274.5,4429672.973
135,414639.538,4428236.064
147,331792.109,4540683.529
148,415897.865,4539238.589
160,334361.172,4651711.059
161,417181.931,4650259.847
173,336980.924,4762755.642
174,418491.352,4761299.925
186,339650.584,4873817.333
187,419825.74,4872358.885
198,263553.929,4987329.505
199,342369.353,4984896.171
200,421184.697,4983436.768
212,345136.421,5095992.171
213,422567.817,5094533.591
225,347950.957,5207105.327
226,423974.688,5205649.348
237,276224.04,5320655.789
238,350812.119,5318235.614
