species,biomassToUse,totalCapacity,malthusianParameter,newBiomass
Skipjack tuna,3.567169E9,Infinity,1.1520938023450586,4.1097132968174205E9
Bigeye tuna,3.37224E8,Infinity,0.265079184,8.939106274521601E7
Yellowfin tuna,5.072949999999997E8,Infinity,0.878915170814038,4.458692715781072E8
Skipjack tuna,3.567168999999982E9,Infinity,1.1520938023450586,4.1097132968173995E9
Bigeye tuna,3.372239999999998E8,Infinity,0.265079184,8.939106274521597E7
Yellowfin tuna,5.0729499999999964E8,Infinity,0.878915170814038,4.458692715781071E8
Yellowfin tuna,7.967052715815821E8,Infinity,0.878915170814038,7.002363498605708E8
Bigeye tuna,4.2661506274521685E8,Infinity,0.265079184,1.1308677271461089E8
Skipjack tuna,7.676882296817392E9,Infinity,1.1520938023450586,8.844488515495817E9
Bigeye tuna,5.397018354598278E8,Infinity,0.265079184,1.4306372214699343E8
Yellowfin tuna,1.3404826214420805E9,Infinity,0.878915170814038,1.1781705121980157E9
Skipjack tuna,1.6521370812313288E10,Infinity,1.1520938023450586,1.9034168919110687E10
Skipjack tuna,3.5555539731423935E10,Infinity,1.1520938023450586,4.096331696360701E10
Bigeye tuna,6.827655576068234E8,Infinity,0.265079184,1.8098693687372178E8
Yellowfin tuna,2.36219413364011E9,Infinity,0.878915170814038,2.0761682604642158E9
