female,male
148068100,148068100
133008100,129696900
126543700,120321200
112262200,104084100
100212000,90594000
94965700,83698600
86509400,74321600
76354500,63926200
69498200,56656100
64571800,51168500
58673073,43397207
52220801,37663636
46478085,32687576
41366894,28368946
36817781,24620885
32768933,21368013
29165337,18544905
25958027,16094781
23103426,13968364
20562744,12122886
11793506,5195917
10496575,4509440
9342268,3913660
8314900,3396594
7400511,2947841
6586677,2558377
5862341,2220368
5217660,1927017
4643874,1672422
4133188,1451464
2893657,611412
2575442,530633
2292221,460526
2040146,399682
1815791,346877
1616109,301048
1438385,261274
1280206,226755
1139422,196797
1014120,170796
1035151,128829
921316,111809
819999,97037
729824,84216
649565,73090
578132,63433
514555,55053
457970,47779
407607,41467
362782,35988
233292,18364
207637,15938
184803,13832
164480,12005
146393,10419
130294,9042
115965,7848
103213,6811
91862,5911
81760,5130
94551,4377
84153,3799
74899,3297
66662,2862
59331,2483
52807,2155
46999,1871
41831,1623
37231,1409
33137,1223
