boat_id,max_deployments
Boat102,19
Boat104,85
Boat105,101
Boat107,152
Boat119,85
Boat134,335
Boat135,145
Boat136,50
Boat137,86
Boat138,184
Boat145,13
Boat146,168
Boat147,213
Boat165,18
Boat166,19
Boat167,58
Boat168,113
Boat169,376
Boat170,78
Boat182,262
Boat189,67
Boat193,53
Boat194,103
Boat195,43
Boat198,61
Boat204,230
Boat213,222
Boat24,8
Boat31,19
Boat41,21
Boat42,69
Boat52,0
Boat66,194
Boat68,21
Boat70,14
Boat73,10
Boat75,16
Boat76,80
Boat77,184
Boat78,92
Boat79,59
Boat82,7
Boat84,60
Boat85,232
Boat88,60
Boat92,70
Boat93,99
Boat94,375
Boat95,145
Boat100,12
Boat103,4
Boat106,51
Boat108,2
Boat109,0
Boat110,5
Boat111,1
Boat113,0
Boat115,8
Boat116,121
Boat117,84
Boat118,199
Boat120,105
Boat121,67
Boat122,11
Boat123,71
Boat124,7
Boat125,221
Boat126,168
Boat13,0
Boat132,258
Boat133,83
Boat139,1
Boat140,0
Boat141,0
Boat142,3
Boat143,94
Boat144,18
Boat151,45
Boat152,0
Boat153,23
Boat154,6
Boat156,0
Boat158,40
Boat159,119
Boat160,0
Boat161,24
Boat162,10
Boat163,2
Boat164,60
Boat171,0
Boat172,0
Boat174,14
Boat175,18
Boat176,17
Boat177,1
Boat178,13
Boat179,22
Boat180,173
Boat181,422
Boat183,30
Boat184,0
Boat185,68
Boat187,13
Boat188,10
Boat190,13
Boat191,120
Boat199,32
Boat200,77
Boat201,180
Boat205,64
Boat207,128
Boat208,55
Boat209,35
Boat210,326
Boat211,73
Boat212,74
Boat216,189
Boat217,121
Boat218,44
Boat221,24
Boat223,11
Boat228,6
Boat236,29
Boat247,8
Boat248,0
Boat249,1
Boat251,145
Boat252,16
Boat254,13
Boat255,268
Boat256,290
Boat257,0
Boat258,88
Boat259,42
Boat261,0
Boat263,26
Boat30,16
Boat33,15
Boat40,38
Boat43,0
Boat44,8
Boat45,4
Boat47,0
Boat51,0
Boat53,41
Boat54,51
Boat55,36
Boat56,9
Boat57,51
Boat61,6
Boat62,0
Boat63,0
Boat64,55
Boat65,104
Boat69,15
Boat71,0
Boat72,0
Boat74,29
Boat80,2
Boat83,87
Boat86,134
Boat87,134
Boat89,0
Boat90,11
Boat91,42
Boat96,18
Boat97,0
Boat98,2
Boat25,43
Boat26,2
Boat264,70
Boat267,0
Boat268,8
Boat27,14
Boat276,101
Boat129,10
Boat197,50
Boat230,3
Boat232,22
Boat237,51
Boat243,48
Boat244,13
Boat266,14
Boat271,5
Boat273,133
Boat274,80
Boat275,106
Boat277,111
Boat278,47
Boat279,0
Boat280,4
Boat283,20
Boat285,38
Boat286,38
Boat46,8
Boat59,0
Boat289,14
Boat290,225
Boat291,44
Boat292,70
Boat29,8
Boat293,213
Boat295,106
Boat297,142
Boat298,140
Boat299,90
Boat300,77
Boat301,144
Boat302,35
Boat304,109
Boat305,69
Boat306,48
Boat308,22
Boat309,20
Boat313,34
Boat314,1
Boat320,82
Boat239,12
Boat288,241
Boat310,179
Boat311,107
Boat316,47
Boat317,174
Boat319,142
Boat321,0
Boat324,0
Boat326,60
Boat327,177
Boat328,215
Boat330,3
Boat224,28
Boat233,32
Boat235,19
Boat245,13
Boat325,12
Boat331,85
Boat332,104
Boat333,26
Boat334,164
Boat338,7
Boat294,36
Boat335,107
Boat336,48
Boat337,18
Boat339,53
Boat340,3
Boat341,143
Boat342,0
Boat343,233
Boat344,1
Boat346,14
Boat348,10
Boat351,0
Boat353,34
Boat354,0
Boat355,1
Boat356,72
Boat357,21
Boat358,36
Boat130,25
Boat284,12
Boat347,202
Boat359,1
Boat360,240
Boat361,162
Boat362,1
Boat368,0
Boat371,94
Boat229,15
Boat240,5
Boat28,8
Boat312,33
Boat349,0
Boat352,60
Boat364,0
Boat365,0
Boat367,62
Boat369,35
Boat370,52
Boat375,6
Boat376,172
Boat377,0
Boat378,0
Boat380,151
Boat382,60
Boat7,20
Boat219,18
Boat242,60
Boat381,152
Boat383,47
Boat386,0
Boat387,132
Boat389,23
Boat60,0
Boat262,22
Boat379,42
Boat394,123
Boat395,1
Boat396,0
Boat397,12
Boat398,0
