"Time (year)";"mesopelagic"
"0";"0.019550002"
"0.041666668";"0.0132"
"0.083333336";"0.0091"
"0.125";"0.00465"
"0.16666667";"0.00425"
"0.20833333";"0.00455"
"0.25";"0.00525"
"0.29166666";"0.00605"
"0.33333334";"0.00615"
"0.375";"0.01935"
"0.41666666";"0.0325"
"0.45833334";"0.05575"
"0.5";"0.065849996"
"0.5416667";"0.07795"
"0.5833333";"0.07985"
"0.625";"0.0959"
"0.6666667";"0.1099"
"0.7083333";"0.1103"
"0.75";"0.0966"
"0.7916667";"0.0642"
"0.8333333";"0.04555"
"0.875";"0.0261"
"0.9166667";"0.0253"
"0.9583333";"0.02215"
