port_name,lon,lat
BALBOA,-79.56666666666666,8.95
BUENAVENTURA,-77.06666666666666,3.8833333333333333
CARTAGENA,-75.53333333333333,10.416666666666666
CORINTO,-87.16666666666667,12.483333333333333
CUMANA (PUERTO SUCRE),-64.18333333333334,10.466666666666667
ENSENADA,-116.63333333333334,31.866666666666667
GUAYAQUIL,-79.88333333333334,-2.2
HONOLULU,-157.86666666666667,21.3
LA UNION,-87.83333333333333,13.333333333333334
LOS ANGELES,-118.25,33.75
MANTA,-80.71666666666667,-0.95
MANZANILLO,-104.31666666666666,19.05
MAZATLAN,-106.41666666666667,23.2
PAGO PAGO HARBOR,-170.66666666666666,-14.283333333333333
PUERTO DE CHIMBOTE,-78.61666666666666,-9.083333333333334
PUERTO DEL CALLAO,-77.15,-12.05
PUERTO ILO,-71.36666666666666,-17.633333333333333
PUERTO MADERO,-92.45,14.7
SAN DIEGO,-117.18333333333334,32.71666666666667
SEATTLE,-122.33333333333333,47.6
