year,species_code,mean,sd
2006,BET,3.5,3.5355339059327378
2006,YFT,13.233666666666666,19.322224203256713
2006,SKJ,26.130809248554915,34.833312901781284
2007,BET,6.710632183908046,17.215257392664693
2007,YFT,17.36742659758204,30.871514827801796
2007,SKJ,20.661738416036805,30.056633741243974
2008,BET,15.207818181818181,25.703128912493433
2008,YFT,17.631207778915044,25.047414287191437
2008,SKJ,28.083025525525525,37.51276159233286
2009,BET,9.255555555555556,11.020874853643996
2009,YFT,28.912333825701626,41.47733217657602
2009,SKJ,25.10224024550636,34.57763341477867
2010,BET,8.46829268292683,13.04113566803885
2010,YFT,22.826589250165892,32.81335165637302
2010,SKJ,19.227803081044875,29.343796856185264
2011,BET,12.78,19.58321755994147
2011,YFT,23.18427947598253,30.246888666072234
2011,SKJ,29.431690379403793,39.47855359546719
2012,BET,11.845161290322581,19.063772848506684
2012,YFT,21.158875899280577,29.115691138498395
2012,SKJ,26.22432372505543,35.40965184812518
2013,BET,26.52285714285714,43.216051523059086
2013,YFT,22.91319565217391,30.433575028494392
2013,SKJ,23.274165685119748,29.26218358393297
2014,BET,18.097,36.65675260275125
2014,YFT,23.764867021276597,27.005901154859128
2014,SKJ,25.625079365079365,33.776708401006374
2015,BET,11.194029850746269,17.721677195038737
2015,YFT,23.775425912670006,32.28499558209804
2015,SKJ,29.926838414634148,38.4286582167984
2016,BET,11.64935064935065,15.239117112295887
2016,YFT,20.254275118004045,28.691159160353646
2016,SKJ,28.821632406287787,37.30051961006642
2017,BET,22.073684210526316,34.92679347228484
2017,YFT,22.58983406113537,30.517121559489127
2017,SKJ,28.926356345885633,34.75812387404913
